No.,Model,Name,latency (ms) Thread num =1,"throughput -fps
(Single Thread)","throughput -fps
(Multi Thread)",,
1,resnet50,cf_resnet50_imagenet_224_224_7.7G,13.29,75.1,144.7,,
2,resnet18,cf_resnet18_imagenet_224_224_3.65G,5.27,189.7,409.7,,
3,Inception_v1,cf_inceptionv1_imagenet_224_224_3.16G,5.81,172,368,,
4,Inception_v2,cf_inceptionv2_imagenet_224_224_4G,7.67,130.2,260.7,,
5,Inception_v3,cf_inceptionv3_imagenet_299_299_11.4G,16.46,60.7,119,,
6,Inception_v4,cf_inceptionv4_imagenet_299_299_24.5G,33.09,30.2,58.7,,
7,Mobilenet_v2,cf_mobilenetv2_imagenet_224_224_0.59G,3.92,255.2,589.3,,
8,SqueezeNet,cf_squeeze_imagenet_227_227_0.76G,3.84,260.2,925.7,,
9,ssd_pedestrian_pruned_0_97,cf_ssdpedestrian_coco_360_640_0.97_5.9G,12.87,77.6,209.5,,
10,refinedet_baseline,cf_refinedet_coco_360_480_123G,110.92,9,18.3,,
11,refinedet_pruned_0_8,cf_refinedet_coco_360_480_0.8_25G,29.46,33.9,73.4,,
12,refinedet_pruned_0_92,cf_refinedet_coco_360_480_0.92_10.10G,15.5,64.5,149.7,,
13,refinedet_pruned_0_96,cf_refinedet_coco_360_480_0.96_5.08G,11.26,88.7,217.5,,
14,ssd_adas_pruned_0_95,cf_ssdadas_bdd_360_480_0.95_6.3G,11.49,87,227.7,,
15,ssd_traffic_pruned_0_9,cf_ssdtraffic_360_480_0.9_11.6G,17.97,55.6,145.3,,
16,VPGnet_pruned_0_99,cf_VPGnet_caltechlane_480_640_0.99_2.5G,11.36,88,242.5,,
17,ssd_mobilenet_v2,cf_ssdmobilenetv2_bdd_360_480_6.57G,39.53,25.3,96.3,,
18,FPN,cf_fpn_cityscapes_256_512_8.9G,29.91,33.4,126.8,,
19,SP_net,cf_SPnet_aichallenger_224_128_0.54G,2.16,462.8,708.4,,
20,Openpose_pruned_0_3,cf_openpose_aichallenger_368_368_0.3_189.7G,274.42,3.6,10.9,,
21,densebox_320_320,cf_densebox_wider_320_320_0.49G,2.67,374.4,1132.2,,
22,densebox_640_360,cf_densebox_wider_360_640_1.11G,5.4,185,535.5,,
23,face_landmark,cf_landmark_celeba_96_72_0.14G,1.15,866.6,1593.6,,
24,reid,cf_reid_market1501_160_80_0.95G,2.72,367.4,696.6,,
25,multi_task,cf_multitask_bdd_288_512_14.8G,27.89,35.8,104.7,,
26,yolov3_bdd,dk_yolov3_bdd_288_512_53.7G,77.18,12.9,26.3,,
27,yolov3_adas_pruned_0_9,dk_yolov3_cityscapes_256_512_0.9_5.46G,11.27,88.7,224.8,,
28,yolov3_voc,dk_yolov3_voc_416_416_65.42G,75.25,13.3,26.6,,
29,yolov2_voc,dk_yolov2_voc_448_448_34G,36.7,27.2,56.1,,
30,yolov2_voc_pruned_0_66,dk_yolov2_voc_448_448_0.66_11.56G,15.2,65.8,153.6,,
31,yolov2_voc_pruned_0_71,dk_yolov2_voc_448_448_0.71_9.86G,13.23,75.6,181.1,,
32,yolov2_voc_pruned_0_77,dk_yolov2_voc_448_448_0.77_7.82G,11.4,87.7,217.5,,
33,ResNet20-face,cf_facerec-resnet20_112_96_3.5G,5.74,174.2,308.3,,
34,ResNet64-face,cf_facerec-resnet64_112_96_11G,13.32,75,144.7,,
35,FPN_Res18_segmentation,cf_FPN-resnet18_EDD_320_320_45.3G,81.71,12.2,31.5,,
36,plate detection,cf_plate-detection_320_320_0.49G,2,500,1862.4,,
37,plate recognition,cf_plate-recognition_96_288_1.75G,7.73,129.2,376.7,,
38,retinaface,cf_retinaface_wider_360_640_1.11G,7.89,126.7,474.8,,
39,face_quality,cf_face-quality_80_60_61.68M,0.48,2060,6608.3,,
40,FPN-R18(light-weight),cf_FPN-resnet18_Endov_240_320_13.75G,29.38,34,129.3,,
41,Hourglass,cf_hourglass-pe_mpii_256_256_10.2G,19.59,51,106,,
42,tiny-yolov3,dk_tiny-yolov3_416_416_5.46G,8.35,119.7,324.9,,
43,yolov4,dk_yolov4_coco_416_416_60.1G,73.22,13.6,28.1,,
44,Inception_resnet_v2,tf_inceptionresnetv2_imagenet_299_299_26.35G,42.86,23.3,43.7,,
45,Inception_v1,tf_inceptionv1_imagenet_224_224_3G,5.69,175.8,374.6,,
46,Inception_v3,tf_inceptionv3_imagenet_299_299_11.45G,16.6,60.2,117.9,,
47,Inception_v4,tf_inceptionv4_imagenet_299_299_24.55G,33.09,30.2,58.6,,
48,Mobilenet_v1,tf_mobilenetv1_0.25_imagenet_128_128_27.15M,0.92,1082.9,3781,,
49,Mobilenet_v1,tf_mobilenetv1_0.5_imagenet_160_160_150.07M,1.41,708.8,2135,,
50,Mobilenet_v1,tf_mobilenetv1_1.0_imagenet_224_224_1.14G,3.34,299,724.4,,
51,Mobilenet_v2,tf_mobilenetv2_1.0_imagenet_224_224_0.59G,3.98,251.1,573.5,,
52,Mobilenet_v2,tf_mobilenetv2_1.4_imagenet_224_224_1.16G,5.41,184.7,392.7,,
53,resnet_v1_50,tf_resnetv1_50_imagenet_224_224_6.97G,12.15,82.2,158.1,,
54,resnet_v1_101,tf_resnetv1_101_imagenet_224_224_14.4G,22.56,44.3,85.9,,
55,resnet_v1_152,tf_resnetv1_152_imagenet_224_224_21.83G,32.84,30.4,59,,
56,vgg_16,tf_vgg16_imagenet_224_224_30.96G,47,21.2,36.8,,
57,vgg_19,tf_vgg19_imagenet_224_224_39.28G,54.4,18.3,32.4,,
58,ssd_mobilenet_v1,tf_ssdmobilenetv1_coco_300_300_2.47G,10.08,99.1,258.1,,
59,ssd_mobilenet_v2,tf_ssdmobilenetv2_coco_300_300_3.75G,12.1,82.6,186.9,,
60,ssd_resnet_50_v1_fpn,tf_ssdresnet50v1_fpn_coco_640_640_178.4G,353.32,2.8,5.1,,
61,yolov3_voc,tf_yolov3_voc_416_416_65.63G,72.74,13.7,27.5,,
62,mlperf_ssd_resnet34,tf_mlperf_resnet34_coco_1200_1200_433G,561.31,1.8,5.1,,
63,Inception_v2,tf_inceptionv2_imagenet_224_224_3.88G,10.84,92.2,187,,
64,resnet_v2_50,tf_resnetv2_50_imagenet_299_299_13.1G_1.3,27.89,35.8,46.4,,
65,resnet_v2_101,tf_resnetv2_101_imagenet_299_299_26.78G,47.67,20.9,24.2,,
66,resnet_v2_152,tf_resnetv2_152_imagenet_299_299_40.47G,67.31,14.8,16.4,,
67,ssdlite_mobilenetv2,tf_ssdlite_mobilenetv2_coco_300_300_1.5G,9.75,102.5,258.9,,
68,ssd_inceptionv2,tf_ssdinceptionv2_coco_300_300_9.62G_1.3,28.91,34.6,83.9,,
69,Mobilenet_v2,tf_mobilenetv2_cityscapes_1024_2048_132.74G,615.68,1.6,4.5,,
70,mlperf_resnet50,tf_mlperf_resnet50_imagenet_224_224_8.19G,13.51,73.9,142.1,,
71,refinedet,tf_refinedet_VOC_320_320_81.9G,93.44,10.7,25.4,,
72,mobilenet_edge_1.0,tf_mobilenetEdge1.0_imagenet_224_224_990M_1.3,4.94,202.4,445.1,,
73,mobilenet_edge_0.75,tf_mobilenetEdge0.75_imagenet_224_224_624M,4.13,242,556.5,,
74,refinedet_medical,tf_RefineDet-Medical_EDD_320_320_9.83G,14.77,67.7,164.9,,
75,resnet50,tf2_resnet50_imagenet_224_224_7.76G,13.68,73.1,142.6,,
76,Mobilenet_v1,tf2_mobilenetv1_imagenet_224_224_1.15G,3.36,297.4,719.6,,
77,Inception_v3,tf2_inceptionv3_imagenet_299_299_11.5G,16.9,59.1,116.4,,
78,2d-unet,tf2_2d-unet_nuclei_128_128_5.31G,6.24,160.2,334.7,,
79,ERFNet,tf2_erfnet_cityscapes_512_1024_54G,145.2,6.9,23.4,,
80,ENet,pt_ENet_cityscapes_512_1024_8.6G,110.99,9,38.3,,
81,SemanticFPN,pt_SemanticFPN_cityscapes_256_512_10G,29.72,33.6,131.9,,
82,ResNet20-face,pt_facerec-resnet20_mixed_112_96_3.5G,5.75,173.7,306.8,,
83,face quality,pt_face-quality_80_60_61.68M,0.45,2202.5,6861,,
84,MT-resnet18,pt_MT-resnet18_mixed_320_512_13.65G,NA,NA,NA,,
85,face_reid_large,pt_facereid-large_96_96_515M,1.14,877.7,1966.5,,
86,face_reid_small,pt_facereid-small_80_80_90M,0.53,1882.8,5511.7,,
87,person_reid,pt_personreid-res50_market1501_256_128_5.4G,9.78,102.2,196.2,,
88,person_reid,pt_personreid-res18_market1501_176_80_1.1G,2.69,370.9,682.9,,
89,pointpillars,pt_pointpillars_kitti_12000_100_10.8G,52.48,19,47.9,,
90,salsanext,pt_salsanext_semantic-kitti_64_2048_0.6_20.4G,189.89,5.3,19.9,,
91,FPN-R18 (light-weight),pt_FPN-resnet18_covid19-seg_352_352_22.7G,26.72,37.4,78.8,,
92,2d-unet,pt_unet_chaos-CT_512_512_23.3G,46.78,21.4,57.4,,
93,Inception_v3,torchvision_inception_v3,16.41,60.9,119.4,,
94,SqueezeNet,torchvision_squeezenet,4.73,211.4,669.9,,
95,resnet50,torchvision_resnet50,14.04,71.2,138,,
